date,ticker,open,high,low,close,volume,is_extended_hours,year,month,day,hour
2020-02-07 10:00:00+00:00,AAPL,321.15,323.24,320.63,322.39,145298,False,2020,2,7,10
2020-02-07 09:00:00+00:00,AAPL,322.3,322.6,320.7,321.09,107273,False,2020,2,7,9
2020-02-06 16:00:00+00:00,AAPL,325.19,325.19,325.19,325.19,100,False,2020,2,6,16
2020-02-06 15:00:00+00:00,AAPL,324.52,325.2,323.97,325.09,58493,False,2020,2,6,15
2020-02-06 14:00:00+00:00,AAPL,324.57,325.0,324.01,324.66,18126,False,2020,2,6,14
2020-02-06 13:00:00+00:00,AAPL,323.51,324.7,323.38,324.61,44528,False,2020,2,6,13
2020-02-06 12:00:00+00:00,AAPL,321.56,323.54,321.56,323.47,30304,False,2020,2,6,12
2020-02-06 11:00:00+00:00,AAPL,321.68,322.83,321.35,321.65,42531,False,2020,2,6,11
2020-02-06 10:00:00+00:00,AAPL,322.38,322.38,320.37,321.7,64178,False,2020,2,6,10
2020-02-06 09:00:00+00:00,AAPL,322.98,323.65,320.36,322.39,56411,False,2020,2,6,9
2020-02-05 15:00:00+00:00,AAPL,321.53,322.44,320.56,321.54,92921,False,2020,2,5,15
2020-02-05 14:00:00+00:00,AAPL,320.58,321.51,320.09,321.32,53671,False,2020,2,5,14
2020-02-05 13:00:00+00:00,AAPL,321.25,321.34,320.05,320.58,51476,False,2020,2,5,13
2020-02-05 12:00:00+00:00,AAPL,321.37,322.05,320.9,321.37,72460,False,2020,2,5,12
2020-02-05 11:00:00+00:00,AAPL,320.76,321.56,319.75,321.35,57906,False,2020,2,5,11
2020-02-05 10:00:00+00:00,AAPL,322.85,323.43,318.97,320.79,76783,False,2020,2,5,10
2020-02-05 09:00:00+00:00,AAPL,323.62,324.71,321.0,322.45,92263,False,2020,2,5,9
2020-02-04 15:00:00+00:00,AAPL,318.77,319.13,317.53,318.93,57089,False,2020,2,4,15
2020-02-04 14:00:00+00:00,AAPL,319.32,319.61,318.66,318.88,31502,False,2020,2,4,14
2020-02-04 13:00:00+00:00,AAPL,318.43,319.36,317.85,319.16,118139,False,2020,2,4,13
2020-02-04 12:00:00+00:00,AAPL,318.22,318.41,317.36,318.26,52677,False,2020,2,4,12
2020-02-04 11:00:00+00:00,AAPL,317.51,319.48,317.19,318.37,67614,False,2020,2,4,11
2020-02-04 10:00:00+00:00,AAPL,314.47,317.44,313.84,317.41,66576,False,2020,2,4,10
2020-02-04 09:00:00+00:00,AAPL,315.64,316.79,313.65,314.5,75215,False,2020,2,4,9
2020-02-03 15:00:00+00:00,AAPL,307.09,309.26,307.05,308.68,68182,False,2020,2,3,15
2020-02-03 14:00:00+00:00,AAPL,307.86,308.18,306.73,307.19,29243,False,2020,2,3,14
2020-02-03 13:00:00+00:00,AAPL,308.69,309.01,306.15,307.85,42362,False,2020,2,3,13
2020-02-03 12:00:00+00:00,AAPL,311.98,312.1,308.74,309.11,51332,False,2020,2,3,12
2020-02-03 11:00:00+00:00,AAPL,312.37,313.44,311.69,311.93,78980,False,2020,2,3,11
2020-02-03 10:00:00+00:00,AAPL,311.19,313.16,310.76,312.39,65155,False,2020,2,3,10
2020-02-03 09:00:00+00:00,AAPL,304.29,310.82,302.35,310.78,144121,False,2020,2,3,9
2020-01-31 15:00:00+00:00,AAPL,312.27,312.47,308.4,309.36,171276,False,2020,1,31,15
2020-01-31 14:00:00+00:00,AAPL,312.67,313.67,311.44,312.32,55026,False,2020,1,31,14
2020-01-31 13:00:00+00:00,AAPL,314.83,315.27,310.08,312.55,65299,False,2020,1,31,13
2020-01-31 12:00:00+00:00,AAPL,316.57,316.9,314.3,314.73,49537,False,2020,1,31,12
2020-01-31 11:00:00+00:00,AAPL,315.78,317.18,314.5,316.69,98277,False,2020,1,31,11
2020-01-31 10:00:00+00:00,AAPL,318.36,318.39,315.1,315.91,169620,False,2020,1,31,10
2020-01-31 09:00:00+00:00,AAPL,321.02,322.67,317.1,318.39,115530,False,2020,1,31,9
2020-01-30 15:00:00+00:00,AAPL,321.0,323.96,320.66,323.92,39605,False,2020,1,30,15
2020-01-30 14:00:00+00:00,AAPL,320.0,321.62,319.66,321.16,22368,False,2020,1,30,14
2020-01-30 13:00:00+00:00,AAPL,320.52,320.62,319.33,319.96,16630,False,2020,1,30,13
2020-01-30 12:00:00+00:00,AAPL,321.9,322.04,319.93,320.44,20420,False,2020,1,30,12
2020-01-30 11:00:00+00:00,AAPL,318.96,322.5,318.86,321.99,40045,False,2020,1,30,11
2020-01-30 10:00:00+00:00,AAPL,322.33,323.71,318.89,318.89,73845,False,2020,1,30,10
2020-01-30 09:00:00+00:00,AAPL,320.68,324.04,320.22,322.42,41194,False,2020,1,30,9
2020-01-29 15:00:00+00:00,AAPL,327.02,327.5,324.12,324.35,172523,False,2020,1,29,15
2020-01-29 14:00:00+00:00,AAPL,326.67,327.85,326.33,327.04,103576,False,2020,1,29,14
2020-01-29 13:00:00+00:00,AAPL,326.16,326.9,325.47,326.66,23658,False,2020,1,29,13
2020-01-29 12:00:00+00:00,AAPL,327.18,327.59,326.28,326.39,26190,False,2020,1,29,12
2020-01-29 11:00:00+00:00,AAPL,325.39,327.76,325.27,327.31,57245,False,2020,1,29,11
2020-01-29 10:00:00+00:00,AAPL,323.24,325.46,321.43,325.3,77743,False,2020,1,29,10
2020-01-29 09:00:00+00:00,AAPL,324.64,327.23,322.71,323.29,172901,False,2020,1,29,9
2020-01-28 15:00:00+00:00,AAPL,318.38,318.38,317.05,317.57,71514,False,2020,1,28,15
2020-01-28 14:00:00+00:00,AAPL,316.86,318.29,316.86,318.29,39936,False,2020,1,28,14
2020-01-28 13:00:00+00:00,AAPL,316.74,316.93,316.14,316.86,28704,False,2020,1,28,13
2020-01-28 12:00:00+00:00,AAPL,316.57,317.16,316.02,316.71,79764,False,2020,1,28,12
2020-01-28 11:00:00+00:00,AAPL,315.83,316.76,315.02,316.52,43263,False,2020,1,28,11
2020-01-28 10:00:00+00:00,AAPL,313.0,315.81,312.49,315.81,78943,False,2020,1,28,10
2020-01-28 09:00:00+00:00,AAPL,312.45,314.02,312.3,312.95,77226,False,2020,1,28,9
2020-01-27 15:00:00+00:00,AAPL,309.25,309.79,304.88,308.88,109286,False,2020,1,27,15
2020-01-27 14:00:00+00:00,AAPL,310.24,311.14,309.06,309.47,19233,False,2020,1,27,14
2020-01-27 13:00:00+00:00,AAPL,311.21,311.59,310.13,310.13,21206,False,2020,1,27,13
2020-01-27 12:00:00+00:00,AAPL,309.25,311.58,309.24,311.18,37672,False,2020,1,27,12
2020-01-27 11:00:00+00:00,AAPL,309.4,310.03,307.68,309.39,40591,False,2020,1,27,11
2020-01-27 10:00:00+00:00,AAPL,311.29,311.64,308.97,309.5,57860,False,2020,1,27,10
2020-01-27 09:00:00+00:00,AAPL,310.08,311.73,306.06,311.58,95419,False,2020,1,27,9
2020-01-24 15:00:00+00:00,AAPL,320.27,320.31,317.54,318.2,89987,False,2020,1,24,15
2020-01-24 14:00:00+00:00,AAPL,319.8,320.18,317.91,320.18,48481,False,2020,1,24,14
2020-01-24 13:00:00+00:00,AAPL,321.11,321.11,319.16,319.84,49292,False,2020,1,24,13
2020-01-24 12:00:00+00:00,AAPL,321.89,321.98,319.54,321.18,31646,False,2020,1,24,12
2020-01-24 11:00:00+00:00,AAPL,322.2,323.22,321.85,321.86,33343,False,2020,1,24,11
2020-01-24 10:00:00+00:00,AAPL,322.51,322.58,321.04,322.3,64580,False,2020,1,24,10
2020-01-24 09:00:00+00:00,AAPL,320.28,322.5,319.95,322.5,56166,False,2020,1,24,9
2020-01-23 15:00:00+00:00,AAPL,319.24,319.55,318.72,319.25,32991,False,2020,1,23,15
2020-01-23 14:00:00+00:00,AAPL,318.7,319.24,318.56,319.24,23707,False,2020,1,23,14
2020-01-23 13:00:00+00:00,AAPL,317.8,318.85,317.42,318.71,14163,False,2020,1,23,13
2020-01-23 12:00:00+00:00,AAPL,317.5,318.17,317.32,317.74,10942,False,2020,1,23,12
2020-01-23 11:00:00+00:00,AAPL,317.38,317.88,316.91,317.51,31862,False,2020,1,23,11
2020-01-23 10:00:00+00:00,AAPL,316.9,318.11,316.29,317.33,60365,False,2020,1,23,10
2020-01-23 09:00:00+00:00,AAPL,317.89,318.43,315.76,317.03,38755,False,2020,1,23,9
2020-01-22 15:00:00+00:00,AAPL,319.85,319.87,317.61,317.85,59374,False,2020,1,22,15
2020-01-22 14:00:00+00:00,AAPL,319.27,319.99,319.07,319.93,21994,False,2020,1,22,14
2020-01-22 13:00:00+00:00,AAPL,319.49,319.87,319.1,319.1,14489,False,2020,1,22,13
2020-01-22 12:00:00+00:00,AAPL,318.51,319.73,318.13,319.64,36913,False,2020,1,22,12
2020-01-22 11:00:00+00:00,AAPL,317.88,318.66,317.51,318.54,38975,False,2020,1,22,11
2020-01-22 10:00:00+00:00,AAPL,318.19,318.88,317.58,317.83,69813,False,2020,1,22,10
2020-01-22 09:00:00+00:00,AAPL,318.85,318.88,317.36,318.13,79722,False,2020,1,22,9
2020-01-21 15:00:00+00:00,AAPL,316.89,317.23,316.24,316.48,36319,False,2020,1,21,15
2020-01-21 14:00:00+00:00,AAPL,316.44,317.26,316.35,316.9,41681,False,2020,1,21,14
2020-01-21 13:00:00+00:00,AAPL,318.01,318.17,316.48,316.54,37162,False,2020,1,21,13
2020-01-21 12:00:00+00:00,AAPL,318.23,318.41,317.84,317.96,23098,False,2020,1,21,12
2020-01-21 11:00:00+00:00,AAPL,317.31,318.92,317.31,318.51,37447,False,2020,1,21,11
2020-01-21 10:00:00+00:00,AAPL,318.26,318.98,317.11,317.4,47297,False,2020,1,21,10
2020-01-21 09:00:00+00:00,AAPL,317.22,318.85,316.7,318.4,45747,False,2020,1,21,9
2020-01-17 16:00:00+00:00,AAPL,318.68,318.68,318.68,318.68,15,False,2020,1,17,16
2020-01-17 15:00:00+00:00,AAPL,317.05,318.74,316.63,318.55,101569,False,2020,1,17,15
2020-01-17 14:00:00+00:00,AAPL,316.75,317.07,316.48,317.07,28955,False,2020,1,17,14
2020-01-17 13:00:00+00:00,AAPL,315.85,316.81,315.41,316.77,21028,False,2020,1,17,13
2020-01-17 12:00:00+00:00,AAPL,316.34,316.9,315.8,315.81,23489,False,2020,1,17,12
